step,agent,mean_reward,std_reward,mean_cum_regret,std_cum_regret,experiment,algo,noise_dist,noise_params
74,0,0.63,0.35,7.16,1.57,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
74,1,0.57,0.36,7.16,1.57,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
75,0,0.62,0.34,7.19,1.58,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
75,1,0.59,0.34,7.19,1.58,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
76,0,0.61,0.33,7.22,1.57,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
76,1,0.61,0.34,7.22,1.57,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
77,0,0.62,0.33,7.25,1.57,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
77,1,0.6,0.32,7.25,1.57,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
78,0,0.58,0.35,7.29,1.58,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
78,1,0.59,0.32,7.29,1.58,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
79,0,0.62,0.33,7.32,1.58,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
79,1,0.57,0.34,7.32,1.58,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
80,0,0.58,0.33,7.35,1.58,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
80,1,0.62,0.36,7.35,1.58,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
81,0,0.59,0.33,7.39,1.59,PD_UCB2_TS0_N0.1_1000,"['UCB', 'TS']",normal,"(0.0, 0.1)"
